superevent_id	classification	distance	area(90)	vol(90)	HasNS	HasRemnant	BNS	NSBH	BBH	Terrestrial
S230529ay	NSBH	213.93727865275835	24219.08473471042	50167398.12908106	0.980829231308616	0.07214606012796915	0.30601513334446906	0.6240278234757632	0.0	0.0699570431797677
S230601bf	BBH	3552.5045471437315	2108.773739845072	4730898201.781095	0.0	0.0	0.0	0.0	0.9999999935572232	6.442776756543367e-09
S230605o	BBH	1071.2778456821331	1370.4735230101708	257890326.8103658	0.0	0.0	0.0	0.0	0.98770478	0.01229522
S230606d	BBH	1813.7419361208465	1286.3532268130791	772885065.2865533	0.0	0.0	0.0	0.0	0.999277956450759	0.0007220435492409916
S230608as	BBH	3161.0386623504446	2217.315759472181	4150179980.118046	0.0	0.0	2.6521932956095014e-24	5.421817374918003e-19	0.9998056109287473	0.00019438907125268745
S230609u	BBH	2779.7162639297762	1917.6130608645835	2801941038.128996	0.0	0.0	0.0	0.0	0.961466981	0.038533019
S230624av	BBH	2526.721682846106	1718.2026618672255	2062633624.6390564	0.0	0.0	0.0	0.0	0.953161104	0.046838896
S230627c	NSBH	279.6230489280549	89.66673826171959	425757.8068891869	0.0	0.0	0.0	0.4921113127134195	0.47773453167609714	0.030154155610483402
S230628ax	BBH	2048.8433920062603	704.915731176803	500433012.9990746	0.0	0.0	0.0	0.0	0.9999757910828331	2.4208917166923527e-05
S230630am	BBH	8662.667534097942	3641.7956511137945	40888511223.35524	0.0	0.0	9.896791560423668e-16	7.656199763323968e-14	0.9825057756089519	0.01749422439097048
S230630bq	BBH	1135.1457264810938	1975.5069221197175	433139099.3753173	0.0	0.0	0.0	0.000828221	0.968061153	0.031110641
S230702an	BBH	2547.834540863169	2518.797972916855	3155911833.717559	0.0	0.0	5.721838593993748e-23	9.76040385444119e-12	0.9999972350416713	2.764948568323433e-06
S230704f	BBH	2918.643682134578	1948.1377029861012	3351826507.612934	0.0	0.0	1.1904241311736438e-20	8.37264971934899e-19	0.9974491771640841	0.0025508228359159
S230706ah	BBH	2123.4397174832293	1552.9843312535695	1406503268.8382022	0.0	0.0	4.420867447273138e-18	2.7828529137534185e-16	0.9733323180266275	0.026667681973372215
S230707ai	BBH	3742.8542782664563	2714.087778686464	6873738027.856812	0.0	0.0	0.0	0.0	0.9510657	0.0489343
S230708cf	BBH	2024.0930538252742	2525.486272000937	2089200753.1645372	0.0	0.0	2.40713824302125e-22	2.3113331209517412e-10	0.989454090576771	0.010545909192095637
S230708t	BBH	3328.165296707801	2291.5909575184605	5282103403.347108	0.0	0.0	1.1673107552317844e-17	8.439042046204218e-16	0.9727404962904896	0.02725950370950947
S230708z	BBH	5749.367557040011	3111.41331196001	18660607232.200626	0.0	0.0	4.464246794331243e-16	3.254796044004244e-14	0.953955431911343	0.046044568088624005
S230709bi	BBH	4959.947121277938	2936.967414720071	12552317563.90184	0.0	0.0	2.979350189449235e-23	2.215103485973378e-21	0.9971993157118272	0.0028006842881728167
S230723ac	BBH	1666.1758737319071	1281.2202613860488	645368337.5965949	0.0	0.0	0.0	1.6473e-05	0.867174107	0.132809417
S230726a	BBH	2039.2718159604335	24218.97383011062	16601026495.843647	0.0	0.0	3.8818043107879957e-25	3.038812522528842e-23	0.9999998589269592	1.4107304080468452e-07
S230729z	BBH	1531.1901549760953	1427.8115553555767	612193530.9773793	0.0	0.0	1.686900110238534e-19	1.0474726072022376e-17	0.9970115962123625	0.002988403787637539
S230731an	BBH	1050.7037843486796	646.0235807753788	105683268.96604098	0.0	0.0	0.0	0.1838623882504885	0.8139519908482554	0.002185620901256069
S230802aq	BBH	434.1736165695687	24221.44560738046	398907630.11064255	0.08569595008756568	0.0001496935201401051	3.4911816230730146e-17	0.062349231125445236	0.9030120009153612	0.03463876795919363
S230805x	BBH	3809.1170378010484	2235.1056477446255	6143038104.179965	0.0	0.0	0.0	0.0	0.9997500609143566	0.0002499390856434136
S230806ak	BBH	4527.572993059854	3749.4387418643514	14687286317.310402	0.0	0.0	6.68974377854143e-20	2.678582929871309e-09	0.9974244087713245	0.0025755885500925446
